"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.37612219668941e-70,1.13063576094489,0.254,0.127,5.89278304778974e-68,"5","Pglyrp1"
3.06784927937079e-69,0.936502221697228,0.194,0.084,7.60826621283955e-67,"5","Cspg4"
1.51295696579801e-66,0.680470849659301,0.379,0.232,3.75213327517906e-64,"5","Laptm5"
1.33837606714791e-57,1.01537102513513,0.61,0.527,3.31917264652681e-55,"5","Aqp4"
3.03066032596631e-48,0.943114685387394,0.167,0.08,7.51603760839646e-46,"5","Igf1"
3.29177043107532e-45,0.325286425208753,0.438,0.295,8.1635906690668e-43,"5","Plekha2"
3.46303592204385e-39,1.05918602963576,0.147,0.072,8.58832908666874e-37,"5","Sntb1"
7.61726789028871e-33,1.17861703886557,0.248,0.16,1.8890824367916e-30,"5","Cd68"
5.00633478141321e-32,1.14412381939795,0.321,0.234,1.24157102579048e-29,"5","Inpp4b"
5.52971892376215e-31,0.75000566277086,0.208,0.126,1.37137029309301e-28,"5","Cd53"
1.96524720980473e-30,1.31878687433997,0.14,0.075,4.87381308031572e-28,"5","Ano1"
8.23009038183637e-21,0.535197135656498,0.164,0.102,2.04106241469542e-18,"5","Sncg"
8.46677164215554e-21,0.580004697929937,0.241,0.167,2.09975936725457e-18,"5","Dpyd"
4.98980807900069e-19,0.274422693536415,0.438,0.338,1.23747240359217e-16,"5","Pdzrn3"
1.70160684963353e-17,0.419710066422124,0.347,0.27,4.21998498709114e-15,"5","Rnf152"
1.66820225227587e-16,0.593152438825527,0.226,0.163,4.13714158564415e-14,"5","Arhgap6"
4.6560366036375e-12,0.439924405108663,0.107,0.069,1.1546970777021e-09,"5","Spi1"
8.23368897965309e-10,0.378953598530856,0.121,0.084,2.04195486695397e-07,"5","Cd300c2"
3.44626868165729e-09,1.24579416725286,0.342,0.326,8.54674633051007e-07,"5","Igfbp6"
0,3.89059246427501,0.898,0.18,0,"6","Nxph3"
0,2.5696817545301,0.94,0.303,0,"6","Grik3"
0,3.34395861114003,0.842,0.213,0,"6","Gadd45a"
0,3.58454488611363,0.835,0.208,0,"6","Rprm"
0,2.33362148637743,0.866,0.242,0,"6","Fezf2"
0,2.95873236734167,0.765,0.148,0,"6","Arhgap25"
0,2.74100765230721,0.773,0.16,0,"6","Foxp2"
0,2.26686291236733,0.772,0.167,0,"6","Syt6"
0,2.5990068047933,0.761,0.165,0,"6","Htr1f"
0,2.35080591712992,0.772,0.178,0,"6","Hs3st2"
0,2.46346544900029,0.833,0.252,0,"6","Sdk2"
0,3.10830608201683,0.709,0.159,0,"6","Myl4"
0,2.0156602218967,0.847,0.302,0,"6","Igsf21"
0,1.32121895805602,0.918,0.376,0,"6","Bcl11b"
0,1.92906084588442,0.91,0.402,0,"6","Igfbp4"
0,1.72487993352758,0.737,0.245,0,"6","Rnf152"
0,1.07969317720984,0.952,0.463,0,"6","Neurod6"
